hybrid_id,restorer,FLW_HPH,FSTW_HPH,FSHW_HPH
R30_R54,R54,0.212121212,-0.039215686,0.022222222
R30_R56,R56,0.173913043,0.102564103,0.122699387
R30_R57,R57,0.153846154,-0.02189781,0.031746032
R30_R59,R59,-0.173076923,-0.147286822,-0.154696133
R30_R60,R60,-0.088888889,-0.55625,-0.502415459
R31_R51,R51,0.788461538,0.056,0.254237288
R31_R52,R52,-0.136986301,0.070422535,0.004672897
R31_R55,R55,-0.096153846,-0.101351351,-0.048387097
R31_R56,R56,-0.019230769,0.12,0.079096045
R31_R57,R57,0.057692308,0.03649635,0.021164021
R31_R59,R59,0.288461538,0.147286822,0.187845304
R31_R60,R60,-0.192307692,-0.33125,-0.280193237
R32_R51,R51,0.411764706,-0.382550336,-0.180904523
R32_R52,R52,0.01369863,0.187919463,0.172897196
R32_R54,R54,-0.019607843,-0.140939597,-0.105527638
R32_R55,R55,0.076923077,-0.234899329,-0.145728643
R32_R56,R56,-0.215686275,-0.275167785,-0.256281407
R32_R57,R57,0.173076923,0.040268456,0.085427136
R32_R59,R59,0.211538462,-0.181208054,-0.120603015
R32_R60,R60,-0.274509804,-0.38125,-0.342995169
R33_R51,R51,0.053571429,-0.25,-0.168269231
R33_R52,R52,-0.01369863,-0.052631579,0.009345794
R33_R54,R54,-0.214285714,-0.085526316,-0.120192308
R33_R56,R56,-0.321428571,-0.296052632,-0.302884615
R33_R59,R59,-0.25,-0.269736842,-0.216346154
R33_R60,R60,-0.446428571,-0.3625,-0.355769231
R34_R51,R51,-0.206349206,-0.342657343,-0.309178744
R34_R52,R52,0.109589041,-0.118881119,-0.03271028
R34_R54,R54,-0.333333333,-0.125874126,-0.193236715
R34_R55,R55,-0.079365079,-0.067567568,-0.048309179
R34_R56,R56,-0.380952381,-0.048951049,-0.115942029
R34_R57,R57,0.063492063,0.055944056,0.053140097
R34_R59,R59,-0.142857143,-0.104895105,-0.120772947
R34_R60,R60,-0.206349206,-0.1625,-0.111111111
R35_R51,R51,0.14,-0.1484375,-0.011976048
R35_R52,R52,0.616438356,-0.098591549,0.14953271
R35_R54,R54,0.175,-0.1015625,-0.02994012
R35_R56,R56,-0.065217391,-0.015625,0.047904192
R35_R57,R57,-0.076923077,-0.255474453,-0.206349206
R35_R59,R59,-0.076923077,-0.11627907,-0.104972376
R35_R60,R60,0.133333333,-0.14375,-0.09178744
R36_R51,R51,0.019230769,-0.24,-0.177339901
R36_R52,R52,0.068493151,-0.22,-0.093457944
R36_R54,R54,-0.269230769,-0.286666667,-0.285714286
R36_R56,R56,-0.115384615,-0.146666667,-0.142857143
R36_R57,R57,-0.057692308,-0.106666667,-0.098522167
R36_R59,R59,-0.019230769,-0.206666667,-0.162561576
R36_R60,R60,-0.173076923,-0.225,-0.193236715
R37_R51,R51,-0.12,-0.246575342,NA
R37_R52,R52,-0.205479452,-0.054794521,-0.079439252
R37_R54,R54,-0.108695652,-0.287671233,-0.260204082
R37_R56,R56,-0.239130435,-0.397260274,-0.387755102
R37_R59,R59,0,0.01369863,-0.051020408
R37_R60,R60,0.173913043,-0.19375,-0.115942029
R38_R52,R52,0.178082192,0.190140845,0.191588785
R38_R54,R54,-0.023809524,0.055555556,0.015151515
R38_R56,R56,0.152173913,0.076923077,0.098159509
R38_R60,R60,0.244444444,-0.11875,-0.033816425
R39_R51,R51,0.018181818,-0.06870229,-0.037837838
R39_R52,R52,0.136986301,-0.007042254,-0.03271028
R39_R54,R54,-0.2,-0.167938931,-0.172972973
R39_R56,R56,-0.2,-0.167938931,-0.172972973
R39_R57,R57,0.072727273,0.087591241,0.132275132
R39_R60,R60,-0.218181818,-0.3875,-0.314009662
R40_R51,R51,0.055555556,-0.428571429,-0.258536585
R40_R52,R52,0.767123288,0.302816901,0.504672897
R40_R54,R54,-0.472222222,-0.390977444,-0.414634146
R40_R55,R55,-0.458333333,-0.466216216,-0.424390244
R40_R56,R56,-0.305555556,-0.15037594,-0.204878049
R40_R57,R57,-0.319444444,-0.197080292,-0.224390244
R40_R59,R59,-0.138888889,-0.172932331,-0.16097561
R40_R60,R60,-0.361111111,-0.3,-0.231884058
R41_R54,R54,-0.166666667,0.1,0.009950249
R41_R55,R55,-0.347222222,-0.344594595,-0.28358209
R41_R56,R56,-0.347222222,-0.015384615,-0.134328358
R41_R57,R57,0.222222222,0.321167883,0.333333333
R41_R59,R59,0.138888889,0.161538462,0.15920398
R41_R60,R60,-0.375,-0.30625,-0.251207729
R42_R52,R52,-0.109589041,-0.169014085,-0.144859813
R42_R54,R54,0.214285714,0.322580645,0.288888889
R42_R55,R55,0.288461538,-0.114864865,0.064516129
R42_R56,R56,0.347826087,0.418803419,0.398773006
R42_R59,R59,0.173076923,0.224806202,0.209944751
R42_R60,R60,0.133333333,-0.1625,-0.106280193
R43_R54,R54,-0.447368421,-0.225806452,-0.306532663
R43_R55,R55,-0.065789474,-0.060810811,0.050251256
R43_R56,R56,-0.342105263,-0.153225806,-0.221105528
R43_R59,R59,-0.368421053,-0.03875969,-0.135678392
R44_R56,R56,-0.338461538,-0.088235294,-0.169154229
R44_R60,R60,-0.430769231,-0.3625,-0.328502415
R45_R52,R52,-0.135135135,-0.038461538,-0.057268722
R45_R54,R54,-0.378378378,-0.326923077,-0.334801762
R45_R55,R55,-0.202702703,-0.128205128,-0.145374449
R45_R56,R56,-0.405405405,-0.141025641,-0.215859031
R45_R57,R57,-0.148648649,-0.006410256,-0.044052863
R45_R59,R59,-0.22972973,-0.185897436,-0.189427313
R45_R60,R60,-0.554054054,-0.43125,-0.453744493
R46_R52,R52,-0.04109589,-0.084507042,-0.070093458
R46_R54,R54,-0.373134328,-0.258992806,-0.287804878
R46_R55,R55,-0.044776119,-0.060810811,-0.073170732
R46_R56,R56,-0.059701493,0.086330935,0.043902439
R46_R57,R57,-0.208955224,0.050359712,-0.029268293
R46_R59,R59,0.179104478,0.151079137,0.165853659
R46_R60,R60,-0.23880597,-0.2,-0.1352657
R47_R52,R52,-0.260273973,-0.216783217,-0.305439331
R47_R54,R54,-0.174603175,-0.202797203,-0.217573222
R47_R55,R55,0.111111111,-0.168918919,-0.188284519
R47_R56,R56,-0.396825397,-0.356643357,-0.468619247
R47_R57,R57,-0.238095238,-0.146853147,-0.288702929
R47_R59,R59,-0.253968254,-0.076923077,-0.251046025
R47_R60,R60,-0.206349206,-0.2625,-0.29707113
R48_R52,R52,0.068493151,0.288732394,0.214953271
R48_R54,R54,-0.387096774,-0.008928571,-0.144508671
R48_R56,R56,-0.274193548,0.094017094,0
R48_R57,R57,-0.306451613,-0.087591241,-0.095238095
R48_R60,R60,-0.435483871,-0.39375,-0.362318841
R49_R51,R51,0.1,-0.02238806,0.005434783
R49_R52,R52,0.01369863,0.345070423,0.313084112
R49_R54,R54,-0.08,-0.156716418,-0.135869565
R49_R55,R55,0.461538462,-0.067567568,0.150537634
R49_R56,R56,0.12,0.007462687,0.038043478
R49_R57,R57,0.076923077,0.03649635,0
R49_R59,R59,0.153846154,0.044776119,0.086956522
R49_R60,R60,-0.2,-0.36875,-0.31884058
R50_R51,R51,-0.08,0.114285714,0.051612903
R50_R52,R52,0.397260274,0.345070423,0.369158879
R50_R54,R54,0.272727273,0.311111111,0.31147541
R50_R55,R55,-0.019230769,-0.087837838,-0.005376344
R50_R56,R56,-0.108695652,-0.008547009,-0.012269939
R50_R59,R59,0.153846154,0.317829457,0.298342541
R50_R60,R60,0.111111111,-0.16875,-0.120772947
